win_rate,kda_ratio,matches_played,name
[u'56.92%'],[u'2.98'],"[u'16,464,614']",[u'Abaddon']
[u'56.82%'],[u'2.45'],"[u'23,481,546']",[u'Warlock']
[u'55.91%'],[u'2.62'],"[u'26,093,736']",[u'Lich']
[u'55.60%'],[u'3.16'],"[u'31,583,971']",[u'Zeus']
[u'55.26%'],[u'2.87'],"[u'21,299,741']",[u'Necrophos']
[u'54.73%'],[u'2.57'],"[u'20,565,312']",[u'Centaur Warrunner']
[u'54.45%'],[u'2.44'],"[u'26,033,502']",[u'Death Prophet']
[u'54.20%'],[u'2.49'],"[u'46,239,198']",[u'Spirit Breaker']
[u'54.20%'],[u'2.31'],"[u'21,582,205']",[u'Jakiro']
[u'53.91%'],[u'2.51'],"[u'31,013,262']",[u'Luna']
[u'53.78%'],[u'2.15'],"[u'59,415,773']",[u'Drow Ranger']
[u'53.66%'],[u'2.42'],"[u'32,987,472']",[u'Ursa']
[u'53.54%'],[u'2.24'],"[u'31,078,405']",[u'Vengeful Spirit']
[u'53.54%'],[u'1.93'],"[u'14,448,757']",[u'Treant Protector']
[u'53.44%'],[u'2.46'],"[u'27,683,708']",[u'Venomancer']
[u'53.38%'],[u'2.07'],"[u'36,670,574']",[u'Crystal Maiden']
[u'53.31%'],[u'1.85'],"[u'20,219,422']",[u'Omniknight']
[u'53.14%'],[u'2.84'],"[u'27,927,760']",[u'Wraith King']
[u'52.90%'],[u'2.85'],"[u'26,632,734']",[u'Tidehunter']
[u'52.75%'],[u'3.57'],"[u'21,309,443']",[u'Spectre']
[u'52.71%'],[u'2.32'],"[u'17,916,410']",[u'Lycan']
[u'52.70%'],[u'2.84'],"[u'36,126,035']",[u'Viper']
[u'52.19%'],[u'2.89'],"[u'47,495,529']",[u'Mirana']
[u'52.19%'],[u'2.00'],"[u'18,480,744']",[u'Dazzle']
[u'52.00%'],[u'3.35'],"[u'33,362,444']",[u'Phantom Lancer']
[u'51.94%'],[u'2.16'],"[u'24,846,593']",[u'Silencer']
[u'51.91%'],[u'2.64'],"[u'9,667,050']",[u'Elder Titan']
[u'51.89%'],[u'3.04'],"[u'54,569,550']",[u'Riki']
[u'51.62%'],[u'2.38'],"[u'25,775,303']",[u'Slardar']
[u'51.38%'],[u'2.13'],"[u'5,824,953']",[u'Terrorblade']
[u'51.37%'],[u'2.80'],"[u'32,769,362']",[u'Nyx Assassin']
[u'51.15%'],[u'2.33'],"[u'16,575,992']",[u'Disruptor']
[u'51.12%'],[u'2.22'],"[u'21,513,101']",[u'Keeper of the Light']
[u'51.07%'],[u'2.67'],"[u'39,634,652']",[u'Slark']
[u'50.98%'],[u'2.40'],"[u'23,764,669']",[u'Ogre Magi']
[u'50.77%'],[u'2.54'],"[u'46,080,887']",[u'Bloodseeker']
[u'50.57%'],[u'2.49'],"[u'30,370,845']",[u'Sand King']
[u'50.45%'],[u'2.21'],"[u'23,059,602']",[u'Witch Doctor']
[u'50.35%'],[u'2.47'],"[u'24,195,139']",[u'Clockwerk']
[u'50.33%'],[u'1.88'],"[u'23,215,768']",[u'Shadow Shaman']
[u'50.16%'],[u'2.16'],"[u'32,761,851']",[u'Sven']
[u'49.99%'],[u'2.80'],"[u'12,172,735']",[u'Brewmaster']
[u'49.91%'],[u'2.80'],"[u'21,514,331']",[u'Night Stalker']
[u'49.86%'],[u'3.09'],"[u'35,436,801']",[u'Weaver']
[u'49.83%'],[u'2.53'],"[u'22,688,348']",[u'Razor']
[u'49.70%'],[u'2.29'],"[u'31,133,843']",[u'Earthshaker']
[u'49.59%'],[u'2.66'],"[u'21,490,433']",[u'Bristleback']
[u'49.50%'],[u'2.33'],"[u'32,069,003']",[u'Shadow Fiend']
[u'49.45%'],[u'2.55'],"[u'41,699,291']",[u'Lifestealer']
[u'49.32%'],[u'2.28'],"[u'34,775,619']",[u'Kunkka']
[u'49.11%'],[u'2.66'],"[u'20,836,299']",[u'Dark Seer']
[u'49.10%'],[u'2.11'],"[u'18,972,050']",[u'Troll Warlord']
[u'49.00%'],[u'2.64'],"[u'4,313,962']",[u'Phoenix']
[u'48.65%'],[u'2.01'],"[u'35,845,802']",[u'Lion']
[u'48.63%'],[u'2.42'],"[u'45,041,799']",[u'Juggernaut']
[u'48.42%'],[u'2.07'],"[u'43,301,656']",[u'Axe']
[u'48.33%'],[u'2.61'],"[u'14,326,294']",[u'Undying']
[u'48.29%'],[u'2.41'],"[u'27,419,149']",[u'Dragon Knight']
[u'48.19%'],[u'2.55'],"[u'9,074,259']",[u'Visage']
[u'48.12%'],[u'2.30'],"[u'89,578,291']",[u'Pudge']
